"availability","description","features","brand","name","id","price","categories__001","categories__002","categories__003","categories__004","categories__005","image","images__001","images__002","images__003","images__004","images__005","images__006"
"10 dni","Producent: Lutec  \nNazwa: QUBO  \nSymbol: 7193002118  \nParametry\n\n  * średnica (mm): \n  * wysokość (mm): 750\n  * szerokość (mm): 110\n  * głębokość (mm): 93\n  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 16W 1000lm 27006500K\n  * max moc źródła: 16 W\n  * napięcie: 230\n  * źródło w zestawie: LED zintegr.\n  * kolor lampy: Antracyt\n  * materiał: aluminium/tworzywo\n  * IP: 54","Specyficzne kody","Lutec","QUBO STOJĄCA","8730","541.2","Strona główna","Oświetlenie","Lampy zewnętrzne","Stojące zewnętrzne","QUBO STOJĄCA","https://jasniej.com/19423-large_01resp/qubo-stojaca.jpg","https://jasniej.com/19423-medium_01resp/qubo-stojaca.jpg","https://jasniej.com/19424-medium_01resp/qubo-stojaca.jpg","https://jasniej.com/19425-medium_01resp/qubo-stojaca.jpg","","",""
"10 dni","Producent: Lutec  \nNazwa: QUBO  \nSymbol: 7193001118  \nParametry\n\n  * średnica (mm): \n  * wysokość (mm): 750\n  * szerokość (mm): 92\n  * głębokość (mm): 110\n  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 18W 1100lm 3000K\n  * max moc źródła: 18 W\n  * napięcie: 230\n  * źródło w zestawie: LED zintegr.\n  * kolor lampy: Antracyt\n  * materiał: aluminium/tworzywo\n  * IP: 54","Specyficzne kody","Lutec","QUBO STOJĄCA","8729","316.11","Strona główna","Oświetlenie","Lampy zewnętrzne","Stojące zewnętrzne","QUBO STOJĄCA","https://jasniej.com/19420-large_01resp/qubo-stojaca.jpg","https://jasniej.com/19420-medium_01resp/qubo-stojaca.jpg","https://jasniej.com/19421-medium_01resp/qubo-stojaca.jpg","https://jasniej.com/19422-medium_01resp/qubo-stojaca.jpg","","",""
"10 dni","Producent: Lutec  \nNazwa: SOLSTEL - CZUJNIK RUCHU  \nSymbol: 6907903001  \nParametry\n\n  * średnica (mm): \n  * wysokość (mm): 450\n  * szerokość (mm): 70\n  * głębokość (mm): 122\n  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 2W 150lm 4000K\n  * max moc źródła: 2 W\n  * napięcie: 0\n  * źródło w zestawie: LED zintegr.\n  * kolor lampy: Stalowy\n  * materiał: stal nierdzewna/tworzywo\n  * IP: 44","Specyficzne kody","Lutec","SOLSTEL - CZUJNIK RUCHU STOJĄCA","8849","270.6","Strona główna","Oświetlenie","Lampy zewnętrzne","Stojące zewnętrzne","SOLSTEL - CZUJNIK RUCHU STOJĄCA","https://jasniej.com/19780-large_01resp/solstel-czujnik-ruchu-stojaca.jpg","https://jasniej.com/19780-medium_01resp/solstel-czujnik-ruchu-stojaca.jpg","https://jasniej.com/19781-medium_01resp/solstel-czujnik-ruchu-stojaca.jpg","https://jasniej.com/19782-medium_01resp/solstel-czujnik-ruchu-stojaca.jpg","","",""
"10 dni","Producent: Lutec  \nNazwa: LONDON  \nSymbol: 6951301189  \nParametry\n\n  * średnica (mm): \n  * wysokość (mm): 227\n  * szerokość (mm): 310\n  * głębokość (mm): 310\n  * ilość źródeł / rodzaj trzonka: 3 x E12 6W 300lm 2700K\n  * max moc źródła: 6 W\n  * napięcie: 0\n  * źródło w zestawie: E12\n  * kolor lampy: Brązowy\n  * materiał: aluminium/szkło\n  * IP: 44","Specyficzne kody","Lutec","LONDON STOJĄCA","8856","811.8","Strona główna","Oświetlenie","Lampy zewnętrzne","Stojące zewnętrzne","LONDON STOJĄCA","https://jasniej.com/19801-large_01resp/london-stojaca.jpg","https://jasniej.com/19801-medium_01resp/london-stojaca.jpg","https://jasniej.com/19802-medium_01resp/london-stojaca.jpg","https://jasniej.com/19803-medium_01resp/london-stojaca.jpg","","",""
"10 dni","Producent: Lutec  \nNazwa: LONDON  \nSymbol: 9700359330  \nParametry\n\n  * średnica (mm): \n  * wysokość (mm): 449\n  * szerokość (mm): 280\n  * głębokość (mm): 280\n  * ilość źródeł / rodzaj trzonka: nie dotyczy\n  * max moc źródła: 0 W\n  * napięcie: 0\n  * źródło w zestawie: brak\n  * kolor lampy: Czarny\n  * materiał: tworzywo\n  * IP: 0","Specyficzne kody","Lutec","LONDON STOJĄCA","8855","180.81","Strona główna","Oświetlenie","Lampy zewnętrzne","Stojące zewnętrzne","LONDON STOJĄCA","https://jasniej.com/19798-large_01resp/london-stojaca.jpg","https://jasniej.com/19798-medium_01resp/london-stojaca.jpg","https://jasniej.com/19799-medium_01resp/london-stojaca.jpg","https://jasniej.com/19800-medium_01resp/london-stojaca.jpg","","",""
"10 dni","Producent: Lutec  \nNazwa: CUBA  \nSymbol: 7193801118  \nParametry\n\n  * średnica (mm): \n  * wysokość (mm): 750\n  * szerokość (mm): 237\n  * głębokość (mm): 110\n  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 23W 1000lm 3000K\n  * max moc źródła: 23 W\n  * napięcie: 230\n  * źródło w zestawie: LED zintegr.\n  * kolor lampy: Antracyt\n  * materiał: aluminium/tworzywo\n  * IP: 54","Specyficzne kody","Lutec","CUBA STOJĄCA","8714","495.69","Strona główna","Oświetlenie","Lampy zewnętrzne","Stojące zewnętrzne","CUBA STOJĄCA","https://jasniej.com/19375-large_01resp/cuba-stojaca.jpg","https://jasniej.com/19375-medium_01resp/cuba-stojaca.jpg","https://jasniej.com/19376-medium_01resp/cuba-stojaca.jpg","https://jasniej.com/19377-medium_01resp/cuba-stojaca.jpg","","",""
"10 dni","Producent: Lutec  \nNazwa: DISO  \nSymbol: 6906703335  \nParametry\n\n  * średnica (mm): \n  * wysokość (mm): 145\n  * szerokość (mm): 175\n  * głębokość (mm): 160\n  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 2W 200lm 4000K\n  * max moc źródła: 2 W\n  * napięcie: 0\n  * źródło w zestawie: LED zintegr.\n  * kolor lampy: Szary\n  * materiał: tworzywo/tworzywo\n  * IP: 44","Specyficzne kody","Lutec","DISO STOJĄCA","8847","226.32","Strona główna","Oświetlenie","Lampy zewnętrzne","Stojące zewnętrzne","DISO STOJĄCA","https://jasniej.com/19774-large_01resp/diso-stojaca.jpg","https://jasniej.com/19774-medium_01resp/diso-stojaca.jpg","https://jasniej.com/19775-medium_01resp/diso-stojaca.jpg","https://jasniej.com/19776-medium_01resp/diso-stojaca.jpg","","",""
"10 dni","Producent: Lutec  \nNazwa: EXPLORER  \nSymbol: 6609205118  \nParametry\n\n  * średnica (mm): \n  * wysokość (mm): 430\n  * szerokość (mm): 90\n  * głębokość (mm): 91\n  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 7W 430lm 27006500K\n  * max moc źródła: 7 W\n  * napięcie: 230\n  * źródło w zestawie: LED zintegr.\n  * kolor lampy: Antracyt\n  * materiał: aluminium/tworzywo\n  * IP: 54","Specyficzne kody","Lutec","EXPLORER STOJĄCA","8722","270.6","Strona główna","Oświetlenie","Lampy zewnętrzne","Stojące zewnętrzne","EXPLORER STOJĄCA","https://jasniej.com/19399-large_01resp/explorer-stojaca.jpg","https://jasniej.com/19399-medium_01resp/explorer-stojaca.jpg","https://jasniej.com/19400-medium_01resp/explorer-stojaca.jpg","https://jasniej.com/19401-medium_01resp/explorer-stojaca.jpg","","",""
"10 dni","Producent: Lutec  \nNazwa: DRAGONFLY  \nSymbol: 6904101337  \nParametry\n\n  * średnica (mm): \n  * wysokość (mm): 281\n  * szerokość (mm): 102\n  * głębokość (mm): 102\n  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 120lm 4000K\n  * max moc źródła: 1 W\n  * napięcie: 0\n  * źródło w zestawie: LED zintegr.\n  * kolor lampy: Srebrnoszary\n  * materiał: tworzywo/tworzywo\n  * IP: 54","Specyficzne kody","Lutec","DRAGONFLY STOJĄCA","8838","180.81","Strona główna","Oświetlenie","Lampy zewnętrzne","Stojące zewnętrzne","DRAGONFLY STOJĄCA","https://jasniej.com/19747-large_01resp/dragonfly-stojaca.jpg","https://jasniej.com/19747-medium_01resp/dragonfly-stojaca.jpg","https://jasniej.com/19748-medium_01resp/dragonfly-stojaca.jpg","https://jasniej.com/19749-medium_01resp/dragonfly-stojaca.jpg","","",""
"10 dni","Producent: Lutec  \nNazwa: DRAGONFLY  \nSymbol: 6904101331  \nParametry\n\n  * średnica (mm): \n  * wysokość (mm): 281\n  * szerokość (mm): 102\n  * głębokość (mm): 102\n  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 120lm 4000K\n  * max moc źródła: 1 W\n  * napięcie: 0\n  * źródło w zestawie: LED zintegr.\n  * kolor lampy: Biały\n  * materiał: tworzywo/tworzywo\n  * IP: 54","Specyficzne kody","Lutec","DRAGONFLY STOJĄCA","8837","180.81","Strona główna","Oświetlenie","Lampy zewnętrzne","Stojące zewnętrzne","DRAGONFLY STOJĄCA","https://jasniej.com/19744-large_01resp/dragonfly-stojaca.jpg","https://jasniej.com/19744-medium_01resp/dragonfly-stojaca.jpg","https://jasniej.com/19745-medium_01resp/dragonfly-stojaca.jpg","https://jasniej.com/19746-medium_01resp/dragonfly-stojaca.jpg","","",""
"10 dni","Producent: Lutec  \nNazwa: DRAGONFLY  \nSymbol: 6904101339  \nParametry\n\n  * średnica (mm): \n  * wysokość (mm): 281\n  * szerokość (mm): 102\n  * głębokość (mm): 102\n  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 120lm 4000K\n  * max moc źródła: 1 W\n  * napięcie: 0\n  * źródło w zestawie: LED zintegr.\n  * kolor lampy: Zielony\n  * materiał: tworzywo/tworzywo\n  * IP: 54","Specyficzne kody","Lutec","DRAGONFLY STOJĄCA","8836","180.81","Strona główna","Oświetlenie","Lampy zewnętrzne","Stojące zewnętrzne","DRAGONFLY STOJĄCA","https://jasniej.com/19741-large_01resp/dragonfly-stojaca.jpg","https://jasniej.com/19741-medium_01resp/dragonfly-stojaca.jpg","https://jasniej.com/19742-medium_01resp/dragonfly-stojaca.jpg","https://jasniej.com/19743-medium_01resp/dragonfly-stojaca.jpg","","",""
"10 dni","Producent: Lutec  \nNazwa: DRAGONFLY  \nSymbol: 6904101340  \nParametry\n\n  * średnica (mm): \n  * wysokość (mm): 281\n  * szerokość (mm): 102\n  * głębokość (mm): 102\n  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 120lm 4000K\n  * max moc źródła: 1 W\n  * napięcie: 0\n  * źródło w zestawie: LED zintegr.\n  * kolor lampy: Pomarańczowy\n  * materiał: tworzywo/tworzywo\n  * IP: 54","Specyficzne kody","Lutec","DRAGONFLY STOJĄCA","8835","158.67","Strona główna","Oświetlenie","Lampy zewnętrzne","Stojące zewnętrzne","DRAGONFLY STOJĄCA","https://jasniej.com/19738-large_01resp/dragonfly-stojaca.jpg","https://jasniej.com/19738-medium_01resp/dragonfly-stojaca.jpg","https://jasniej.com/19739-medium_01resp/dragonfly-stojaca.jpg","https://jasniej.com/19740-medium_01resp/dragonfly-stojaca.jpg","","",""
"10 dni","Producent: Lutec  \nNazwa: PADLIGHT  \nSymbol: 6907701339  \nParametry\n\n  * średnica (mm): \n  * wysokość (mm): 180\n  * szerokość (mm): 24\n  * głębokość (mm): 141\n  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 2W 200lm 4000K\n  * max moc źródła: 2 W\n  * napięcie: 0\n  * źródło w zestawie: LED zintegr.\n  * kolor lampy: Zielony\n  * materiał: tworzywo/tworzywo\n  * IP: 44","Specyficzne kody","Lutec","PADLIGHT STOJĄCA","8833","180.81","Strona główna","Oświetlenie","Lampy zewnętrzne","Stojące zewnętrzne","PADLIGHT STOJĄCA","https://jasniej.com/19732-large_01resp/padlight-stojaca.jpg","https://jasniej.com/19732-medium_01resp/padlight-stojaca.jpg","https://jasniej.com/19733-medium_01resp/padlight-stojaca.jpg","https://jasniej.com/19734-medium_01resp/padlight-stojaca.jpg","","",""
"10 dni","Producent: Lutec  \nNazwa: PADLIGHT  \nSymbol: 6907701331  \nParametry\n\n  * średnica (mm): \n  * wysokość (mm): 180\n  * szerokość (mm): 24\n  * głębokość (mm): 141\n  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 2W 200lm 4000K\n  * max moc źródła: 2 W\n  * napięcie: 0\n  * źródło w zestawie: LED zintegr.\n  * kolor lampy: Biały\n  * materiał: tworzywo/tworzywo\n  * IP: 44","Specyficzne kody","Lutec","PADLIGHT STOJĄCA","8834","180.81","Strona główna","Oświetlenie","Lampy zewnętrzne","Stojące zewnętrzne","PADLIGHT STOJĄCA","https://jasniej.com/19735-large_01resp/padlight-stojaca.jpg","https://jasniej.com/19735-medium_01resp/padlight-stojaca.jpg","https://jasniej.com/19736-medium_01resp/padlight-stojaca.jpg","https://jasniej.com/19737-medium_01resp/padlight-stojaca.jpg","","",""
"10 dni","Producent: Lutec  \nNazwa: PADLIGHT  \nSymbol: 6907701340  \nParametry\n\n  * średnica (mm): \n  * wysokość (mm): 180\n  * szerokość (mm): 24\n  * głębokość (mm): 141\n  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 2W 200lm 4000K\n  * max moc źródła: 2 W\n  * napięcie: 0\n  * źródło w zestawie: LED zintegr.\n  * kolor lampy: Pomarańczowy\n  * materiał: tworzywo/tworzywo\n  * IP: 44","Specyficzne kody","Lutec","PADLIGHT STOJĄCA","8832","180.81","Strona główna","Oświetlenie","Lampy zewnętrzne","Stojące zewnętrzne","PADLIGHT STOJĄCA","https://jasniej.com/19729-large_01resp/padlight-stojaca.jpg","https://jasniej.com/19729-medium_01resp/padlight-stojaca.jpg","https://jasniej.com/19730-medium_01resp/padlight-stojaca.jpg","https://jasniej.com/19731-medium_01resp/padlight-stojaca.jpg","","",""
"10 dni","Producent: Lutec  \nNazwa: TABLE CUBE  \nSymbol: 6908002337  \nParametry\n\n  * średnica (mm): \n  * wysokość (mm): 450\n  * szerokość (mm): 120\n  * głębokość (mm): 120\n  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 100lm 3000K\n  * max moc źródła: 1 W\n  * napięcie: 0\n  * źródło w zestawie: LED zintegr.\n  * kolor lampy: Srebrnoszary\n  * materiał: tworzywo/tworzywo\n  * IP: 44","Specyficzne kody","Lutec","TABLE CUBE STOJĄCA","8831","158.67","Strona główna","Oświetlenie","Lampy zewnętrzne","Stojące zewnętrzne","TABLE CUBE STOJĄCA","https://jasniej.com/19726-large_01resp/table-cube-stojaca.jpg","https://jasniej.com/19726-medium_01resp/table-cube-stojaca.jpg","https://jasniej.com/19727-medium_01resp/table-cube-stojaca.jpg","https://jasniej.com/19728-medium_01resp/table-cube-stojaca.jpg","","",""
"10 dni","Producent: Lutec  \nNazwa: TABLE CUBE  \nSymbol: 6908001337  \nParametry\n\n  * średnica (mm): \n  * wysokość (mm): 133\n  * szerokość (mm): 120\n  * głębokość (mm): 120\n  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 100lm 3000K\n  * max moc źródła: 1 W\n  * napięcie: 0\n  * źródło w zestawie: LED zintegr.\n  * kolor lampy: Srebrnoszary\n  * materiał: tworzywo/tworzywo\n  * IP: 44","Specyficzne kody","Lutec","TABLE CUBE STOJĄCA","8829","103.32","Strona główna","Oświetlenie","Lampy zewnętrzne","Stojące zewnętrzne","TABLE CUBE STOJĄCA","https://jasniej.com/19720-large_01resp/table-cube-stojaca.jpg","https://jasniej.com/19720-medium_01resp/table-cube-stojaca.jpg","https://jasniej.com/19721-medium_01resp/table-cube-stojaca.jpg","https://jasniej.com/19722-medium_01resp/table-cube-stojaca.jpg","","",""
"10 dni","Producent: Lutec  \nNazwa: TABLE CUBE  \nSymbol: 6908001331  \nParametry\n\n  * średnica (mm): \n  * wysokość (mm): 133\n  * szerokość (mm): 120\n  * głębokość (mm): 120\n  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 100lm 3000K\n  * max moc źródła: 1 W\n  * napięcie: 0\n  * źródło w zestawie: LED zintegr.\n  * kolor lampy: Biały\n  * materiał: tworzywo/tworzywo\n  * IP: 44","Specyficzne kody","Lutec","TABLE CUBE STOJĄCA","8828","103.32","Strona główna","Oświetlenie","Lampy zewnętrzne","Stojące zewnętrzne","TABLE CUBE STOJĄCA","https://jasniej.com/19717-large_01resp/table-cube-stojaca.jpg","https://jasniej.com/19717-medium_01resp/table-cube-stojaca.jpg","https://jasniej.com/19718-medium_01resp/table-cube-stojaca.jpg","https://jasniej.com/19719-medium_01resp/table-cube-stojaca.jpg","","",""
"10 dni","Producent: Lutec  \nNazwa: TABLE CUBE  \nSymbol: 6908003331  \nParametry\n\n  * średnica (mm): \n  * wysokość (mm): 133\n  * szerokość (mm): 120\n  * głębokość (mm): 120\n  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 100lm 0K\n  * max moc źródła: 1 W\n  * napięcie: 0\n  * źródło w zestawie: LED zintegr.\n  * kolor lampy: Biały\n  * materiał: tworzywo/tworzywo\n  * IP: 44","Specyficzne kody","Lutec","TABLE CUBE STOJĄCA","8830","114.39","Strona główna","Oświetlenie","Lampy zewnętrzne","Stojące zewnętrzne","TABLE CUBE STOJĄCA","https://jasniej.com/19723-large_01resp/table-cube-stojaca.jpg","https://jasniej.com/19723-medium_01resp/table-cube-stojaca.jpg","https://jasniej.com/19724-medium_01resp/table-cube-stojaca.jpg","https://jasniej.com/19725-medium_01resp/table-cube-stojaca.jpg","","",""
"10 dni","Producent: Lutec  \nNazwa: TABLE CUBE  \nSymbol: 6908001339  \nParametry\n\n  * średnica (mm): \n  * wysokość (mm): 133\n  * szerokość (mm): 120\n  * głębokość (mm): 120\n  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 100lm 3000K\n  * max moc źródła: 1 W\n  * napięcie: 0\n  * źródło w zestawie: LED zintegr.\n  * kolor lampy: Zielony\n  * materiał: tworzywo/tworzywo\n  * IP: 44","Specyficzne kody","Lutec","TABLE CUBE STOJĄCA","8827","103.32","Strona główna","Oświetlenie","Lampy zewnętrzne","Stojące zewnętrzne","TABLE CUBE STOJĄCA","https://jasniej.com/19714-large_01resp/table-cube-stojaca.jpg","https://jasniej.com/19714-medium_01resp/table-cube-stojaca.jpg","https://jasniej.com/19715-medium_01resp/table-cube-stojaca.jpg","https://jasniej.com/19716-medium_01resp/table-cube-stojaca.jpg","","",""
"10 dni","Producent: Lutec  \nNazwa: TABLE CUBE  \nSymbol: 6908001340  \nParametry\n\n  * średnica (mm): \n  * wysokość (mm): 133\n  * szerokość (mm): 120\n  * głębokość (mm): 120\n  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 100lm 3000K\n  * max moc źródła: 1 W\n  * napięcie: 0\n  * źródło w zestawie: LED zintegr.\n  * kolor lampy: Pomarańczowy\n  * materiał: tworzywo/tworzywo\n  * IP: 44","Specyficzne kody","Lutec","TABLE CUBE STOJĄCA","8826","103.32","Strona główna","Oświetlenie","Lampy zewnętrzne","Stojące zewnętrzne","TABLE CUBE STOJĄCA","https://jasniej.com/19711-large_01resp/table-cube-stojaca.jpg","https://jasniej.com/19711-medium_01resp/table-cube-stojaca.jpg","https://jasniej.com/19712-medium_01resp/table-cube-stojaca.jpg","https://jasniej.com/19713-medium_01resp/table-cube-stojaca.jpg","","",""
"10 dni","Producent: Lutec  \nNazwa: POPPY  \nSymbol: 6910802335  \nParametry\n\n  * średnica (mm): \n  * wysokość (mm): 190\n  * szerokość (mm): 48\n  * głębokość (mm): 46\n  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 8W 500lm 3000K\n  * max moc źródła: 8 W\n  * napięcie: 0\n  * źródło w zestawie: LED zintegr.\n  * kolor lampy: Szary\n  * materiał: tworzywo/tworzywo\n  * IP: 54","Specyficzne kody","Lutec","POPPY STOJĄCA","8825","676.5","Strona główna","Oświetlenie","Lampy zewnętrzne","Stojące zewnętrzne","POPPY STOJĄCA","https://jasniej.com/19708-large_01resp/poppy-stojaca.jpg","https://jasniej.com/19708-medium_01resp/poppy-stojaca.jpg","https://jasniej.com/19709-medium_01resp/poppy-stojaca.jpg","https://jasniej.com/19710-medium_01resp/poppy-stojaca.jpg","","",""
"10 dni","Producent: Lutec  \nNazwa: CATE  \nSymbol: 7264210213  \nParametry\n\n  * średnica (mm): \n  * wysokość (mm): 945\n  * szerokość (mm): 265\n  * głębokość (mm): 176\n  * ilość źródeł / rodzaj trzonka: 1 x E27 60W\n  * max moc źródła: 60 W\n  * napięcie: 230\n  * źródło w zestawie: brak\n  * kolor lampy: Matowa rdza\n  * materiał: aluminium/szkło\n  * IP: 44","Specyficzne kody","Lutec","CATE STOJĄCA","8822","248.46","Strona główna","Oświetlenie","Lampy zewnętrzne","Stojące zewnętrzne","CATE STOJĄCA","https://jasniej.com/19699-large_01resp/cate-stojaca.jpg","https://jasniej.com/19699-medium_01resp/cate-stojaca.jpg","https://jasniej.com/19700-medium_01resp/cate-stojaca.jpg","https://jasniej.com/19701-medium_01resp/cate-stojaca.jpg","","",""
"10 dni","Producent: Lutec  \nNazwa: CATE  \nSymbol: 7264230213  \nParametry\n\n  * średnica (mm): \n  * wysokość (mm): 190\n  * szerokość (mm): 430\n  * głębokość (mm): 430\n  * ilość źródeł / rodzaj trzonka: 3 x E27 60W\n  * max moc źródła: 60 W\n  * napięcie: 230\n  * źródło w zestawie: brak\n  * kolor lampy: Matowa rdza\n  * materiał: aluminium/szkło\n  * IP: 44","Specyficzne kody","Lutec","CATE STOJĄCA","8821","630.99","Strona główna","Oświetlenie","Lampy zewnętrzne","Stojące zewnętrzne","CATE STOJĄCA","https://jasniej.com/19696-large_01resp/cate-stojaca.jpg","https://jasniej.com/19696-medium_01resp/cate-stojaca.jpg","https://jasniej.com/19697-medium_01resp/cate-stojaca.jpg","https://jasniej.com/19698-medium_01resp/cate-stojaca.jpg","","",""
